source,country,date,type,value
wikipedia,Sierra Leone,02-Apr-20_08:24,cases,2
wikipedia,Sierra Leone,02-Apr-20_08:24,deaths,0
wikipedia,Sierra Leone,02-Apr-20_08:24,recovered,0
wikipedia,Moldova,02-Apr-20_08:24,cases,423
wikipedia,Moldova,02-Apr-20_08:24,deaths,5
wikipedia,Moldova,02-Apr-20_08:24,recovered,23
wikipedia,Burkina Faso,02-Apr-20_08:24,cases,282
wikipedia,Burkina Faso,02-Apr-20_08:24,deaths,16
wikipedia,Burkina Faso,02-Apr-20_08:24,recovered,46
wikipedia,Ireland,02-Apr-20_08:24,cases,3447
wikipedia,Ireland,02-Apr-20_08:24,deaths,85
wikipedia,Ireland,02-Apr-20_08:24,recovered,5
wikipedia,French Guiana,02-Apr-20_08:24,cases,51
wikipedia,French Guiana,02-Apr-20_08:24,deaths,0
wikipedia,French Guiana,02-Apr-20_08:24,recovered,0
wikipedia,Mongolia,02-Apr-20_08:24,cases,14
wikipedia,Mongolia,02-Apr-20_08:24,deaths,0
wikipedia,Mongolia,02-Apr-20_08:24,recovered,2
wikipedia,Ethiopia,02-Apr-20_08:24,cases,29
wikipedia,Ethiopia,02-Apr-20_08:24,deaths,0
wikipedia,Ethiopia,02-Apr-20_08:24,recovered,2
wikipedia,New Zealand,02-Apr-20_08:24,cases,723
wikipedia,New Zealand,02-Apr-20_08:24,deaths,1
wikipedia,New Zealand,02-Apr-20_08:24,recovered,92
wikipedia,Kosovo,02-Apr-20_08:24,cases,125
wikipedia,Kosovo,02-Apr-20_08:24,deaths,1
wikipedia,Kosovo,02-Apr-20_08:24,recovered,1
wikipedia,Jersey,02-Apr-20_08:24,cases,81
wikipedia,Jersey,02-Apr-20_08:24,deaths,2
wikipedia,Jersey,02-Apr-20_08:24,recovered,0
wikipedia,United Kingdom,02-Apr-20_08:24,cases,29474
wikipedia,United Kingdom,02-Apr-20_08:24,deaths,2352
wikipedia,United Kingdom,02-Apr-20_08:24,recovered,135
wikipedia,Gibraltar,02-Apr-20_08:24,cases,69
wikipedia,Gibraltar,02-Apr-20_08:24,deaths,0
wikipedia,Gibraltar,02-Apr-20_08:24,recovered,14
wikipedia,Malaysia,02-Apr-20_08:24,cases,2908
wikipedia,Malaysia,02-Apr-20_08:24,deaths,45
wikipedia,Malaysia,02-Apr-20_08:24,recovered,645
wikipedia,Chile,02-Apr-20_08:24,cases,3031
wikipedia,Chile,02-Apr-20_08:24,deaths,16
wikipedia,Chile,02-Apr-20_08:24,recovered,234
wikipedia,Brazil,02-Apr-20_08:24,cases,6836
wikipedia,Brazil,02-Apr-20_08:24,deaths,240
wikipedia,Brazil,02-Apr-20_08:24,recovered,127
wikipedia,Kazakhstan,02-Apr-20_08:24,cases,386
wikipedia,Kazakhstan,02-Apr-20_08:24,deaths,3
wikipedia,Kazakhstan,02-Apr-20_08:24,recovered,26
wikipedia,Niger,02-Apr-20_08:24,cases,74
wikipedia,Niger,02-Apr-20_08:24,deaths,5
wikipedia,Niger,02-Apr-20_08:24,recovered,0
wikipedia,Transnistria,02-Apr-20_08:24,cases,31
wikipedia,Transnistria,02-Apr-20_08:24,deaths,2
